Team1,Team2,odd_W,odd_L_1,sport,odd_L_2
gs,sa,1.83,2.0,basket,0.0
gs,okc,1.83,2.0,basket,0.0
gs,no,1.83,2.0,basket,0.0
gs,phi,1.83,2.0,basket,0.0
gs,lal,1.83,2.0,basket,0.0
gs,det,1.83,2.0,basket,0.0
gs,hou,1.83,2.0,basket,0.0
gs,mia,1.83,2.0,basket,0.0
gs,den,1.69,2.25,basket,0.0
gs,ind,1.69,2.25,basket,0.0
gs,okc,1.69,2.25,basket,0.0
gs,lal,1.69,2.25,basket,0.0
gs,por,1.69,2.25,basket,0.0
gs,phi,1.59,2.5,basket,0.0
gs,cle,1.56,2.5,basket,0.0
gs,por,1.59,2.5,basket,0.0
gs,orl,1.59,2.5,basket,0.0
gs,mem,1.59,2.5,basket,0.0
gs,bkn,1.49,2.75,basket,0.0
gs,phx,1.5,2.75,basket,0.0
gs,okc,1.5,2.75,basket,0.0
gs,phx,1.47,2.75,basket,0.0
gs,lac,1.5,2.75,basket,0.0
gs,okc,1.5,2.75,basket,0.0
gs,sa,1.5,2.75,basket,0.0
gs,bos,1.5,2.75,basket,0.0
gs,sa,1.48,2.75,basket,0.0
gs,sac,1.48,2.75,basket,0.0
gs,min,1.48,2.75,basket,0.0
gs,dal,1.48,2.75,basket,0.0
gs,lac,1.42,3.0,basket,0.0
gs,lal,1.4,3.0,basket,0.0
gs,sa,1.42,3.0,basket,0.0
gs,cha,1.42,3.0,basket,0.0
gs,den,1.42,3.0,basket,0.0
gs,mia,1.42,3.0,basket,0.0
gs,dal,1.42,3.0,basket,0.0
gs,min,1.42,3.0,basket,0.0
gs,por,1.42,3.0,basket,0.0
gs,cle,1.42,3.0,basket,0.0
gs,lac,1.42,3.0,basket,0.0
gs,atl,1.38,3.25,basket,0.0
gs,min,1.33,3.5,basket,0.0
gs,sa,1.34,3.5,basket,0.0
gs,min,1.33,3.5,basket,0.0
gs,phx,1.33,3.5,basket,0.0
gs,wsh,1.32,3.5,basket,0.0
gs,bos,1.32,3.5,basket,0.0
gs,mil,1.33,3.5,basket,0.0
gs,no,1.33,3.5,basket,0.0
gs,dal,1.31,3.75,basket,0.0
gs,por,1.25,4.0,basket,0.0
gs,utah,1.25,4.0,basket,0.0
gs,min,1.25,4.0,basket,0.0
gs,mem,1.26,4.0,basket,0.0
gs,bkn,1.25,4.0,basket,0.0
gs,no,1.28,4.0,basket,0.0
gs,sa,1.25,4.0,basket,0.0
gs,sac,1.28,4.0,basket,0.0
gs,okc,1.28,4.0,basket,0.0
gs,ind,1.25,4.0,basket,0.0
gs,phx,1.25,4.25,basket,0.0
gs,den,1.24,4.25,basket,0.0
gs,lal,1.22,4.25,basket,0.0
gs,lal,1.22,4.25,basket,0.0
gs,cha,1.24,4.5,basket,0.0
gs,tor,1.22,4.5,basket,0.0
gs,utah,1.22,4.5,basket,0.0
gs,utah,1.22,4.5,basket,0.0
gs,no,1.22,4.5,basket,0.0
gs,hou,1.24,4.5,basket,0.0
gs,min,1.24,4.5,basket,0.0
gs,det,1.21,4.75,basket,0.0
gs,hou,1.2,4.75,basket,0.0
gs,lac,1.22,4.75,basket,0.0
gs,okc,1.22,4.75,basket,0.0
gs,den,1.22,4.75,basket,0.0
gs,orl,1.21,4.75,basket,0.0
gs,hou,1.2,4.75,basket,0.0
gs,utah,1.18,5.0,basket,0.0
gs,phi,1.2,5.0,basket,0.0
gs,wsh,1.2,5.0,basket,0.0
gs,sac,1.2,5.0,basket,0.0
gs,por,1.2,5.0,basket,0.0
gs,hou,1.2,5.0,basket,0.0
gs,no,1.2,5.0,basket,0.0
